LeakagePort 1	Current turn 0.5	Pressure storage 13.5116	Pressure reaction 1.47344	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
5.11	10.6341	7.61743	0.00141144	0.0079008
5.12	10.631	7.62418	0.00140982	0.00790781
5.13	10.6278	7.63092	0.00140819	0.0079148
5.14	10.6246	7.63766	0.00140656	0.00792178
5.15	10.6215	7.64439	0.00140493	0.00792876
5.16	10.6183	7.6511	0.00140329	0.00793573
5.17	10.6152	7.65782	0.00140164	0.00794269
5.18	10.6121	7.66452	0.00139999	0.00794964
5.19	10.6089	7.67121	0.00139834	0.00795659
5.2	10.6058	7.6779	0.00139668	0.00796352
5.21	10.6027	7.68458	0.00139502	0.00797045
5.22	10.5995	7.69125	0.00139335	0.00797737
5.23	10.5964	7.69792	0.00139168	0.00798428
5.24	10.5933	7.70457	0.00139	0.00799119
5.25	10.5902	7.71122	0.00138832	0.00799808
5.26	10.5871	7.71786	0.00138663	0.00800497
5.27	10.584	7.72449	0.00138494	0.00801185
5.28	10.5809	7.73111	0.00138325	0.00801871
5.29	10.5778	7.73773	0.00138155	0.00802558
5.3	10.5747	7.74434	0.00137984	0.00803243
5.31	10.5716	7.75093	0.00137814	0.00803927
5.32	10.5685	7.75753	0.00137642	0.00804611
5.33	10.5654	7.76411	0.00137471	0.00805294
5.34	10.5623	7.77068	0.00137299	0.00805976
5.35	10.5593	7.77725	0.00137126	0.00806657
5.36	10.5562	7.78381	0.00136953	0.00807337
5.37	10.5531	7.79036	0.00136779	0.00808016
5.38	10.5501	7.7969	0.00136605	0.00808695
5.39	10.547	7.80343	0.00136431	0.00809372
5.4	10.5439	7.80996	0.00136256	0.00810049
5.41	10.5409	7.81647	0.00136081	0.00810725
5.42	10.5378	7.82298	0.00135905	0.008114
5.43	10.5348	7.82948	0.00135729	0.00812074
5.44	10.5318	7.83597	0.00135552	0.00812747
5.45	10.5287	7.84245	0.00135375	0.0081342
5.46	10.5257	7.84893	0.00135198	0.00814091
5.47	10.5227	7.85539	0.0013502	0.00814762
5.48	10.5196	7.86185	0.00134842	0.00815432
5.49	10.5166	7.8683	0.00134663	0.008161
5.5	10.5136	7.87474	0.00134483	0.00816768
5.51	10.5106	7.88117	0.00134304	0.00817435
5.52	10.5076	7.88759	0.00134124	0.00818102
5.53	10.5046	7.89401	0.00133943	0.00818767
5.54	10.5016	7.90041	0.00133762	0.00819431
5.55	10.4986	7.90681	0.00133581	0.00820095
5.56	10.4956	7.9132	0.00133399	0.00820757
5.57	10.4926	7.91958	0.00133216	0.00821419
5.58	10.4896	7.92595	0.00133034	0.0082208
5.59	10.4866	7.93231	0.00132851	0.0082274
5.6	10.4837	7.93867	0.00132667	0.00823399
5.61	10.4807	7.94501	0.00132483	0.00824057
5.62	10.4777	7.95135	0.00132298	0.00824714
5.63	10.4748	7.95767	0.00132114	0.0082537
5.64	10.4718	7.96399	0.00131928	0.00826026
5.65	10.4689	7.9703	0.00131742	0.0082668
5.66	10.4659	7.9766	0.00131556	0.00827333
5.67	10.463	7.98289	0.0013137	0.00827986
5.68	10.46	7.98918	0.00131183	0.00828638
5.69	10.4571	7.99545	0.00130995	0.00829288
5.7	10.4541	8.00171	0.00130807	0.00829938
5.71	10.4512	8.00797	0.00130619	0.00830587
5.72	10.4483	8.01422	0.0013043	0.00831235
5.73	10.4454	8.02045	0.00130241	0.00831882
5.74	10.4424	8.02668	0.00130051	0.00832528
5.75	10.4395	8.0329	0.00129861	0.00833173
5.76	10.4366	8.03911	0.00129671	0.00833817
5.77	10.4337	8.04531	0.0012948	0.0083446
5.78	10.4308	8.05151	0.00129289	0.00835103
5.79	10.4279	8.05769	0.00129097	0.00835744
5.8	10.425	8.06386	0.00128905	0.00836384
5.81	10.4221	8.07003	0.00128712	0.00837024
5.82	10.4193	8.07618	0.00128519	0.00837662
5.83	10.4164	8.08233	0.00128326	0.008383
5.84	10.4135	8.08847	0.00128132	0.00838936
5.85	10.4106	8.09459	0.00127938	0.00839572
5.86	10.4078	8.10071	0.00127743	0.00840206
5.87	10.4049	8.10682	0.00127548	0.0084084
5.88	10.4021	8.11292	0.00127352	0.00841473
