SupplyPort 1	Port pressure 31
Elapsed	Pressure	Rate
5.26	29.3571	0.00291964	55.5544
5.27	29.37	0.00289738	55.5544
5.28	29.3828	0.00287529	55.5544
5.29	29.3955	0.00285335	55.5544
5.3	29.4082	0.00283157	55.5544
5.31	29.4207	0.00280994	55.5544
5.32	29.4331	0.00278847	55.5544
5.33	29.4454	0.00276716	55.5544
5.34	29.4577	0.00274599	55.5544
5.35	29.4698	0.00272498	55.5544
5.36	29.4819	0.00270412	55.5544
5.37	29.4938	0.00268341	55.5544
5.38	29.5057	0.00266285	55.5544
5.39	29.5175	0.00264244	55.5544
5.4	29.5291	0.00262218	55.5544
5.41	29.5407	0.00260206	55.5544
5.42	29.5523	0.00258209	55.5544
5.43	29.5637	0.00256226	55.5544
5.44	29.575	0.00254257	55.5544
5.45	29.5862	0.00252303	55.5544
5.46	29.5974	0.00250363	55.5544
5.47	29.6085	0.00248438	55.5544
5.48	29.6195	0.00246526	55.5544
5.49	29.6304	0.00244628	55.5544
5.5	29.6412	0.00242744	55.5544
5.51	29.6519	0.00240874	55.5544
5.52	29.6626	0.00239017	55.5544
5.53	29.6731	0.00237174	55.5544
5.54	29.6836	0.00235345	55.5544
5.55	29.694	0.00233528	55.5544
5.56	29.7044	0.00231726	55.5544
5.57	29.7146	0.00229936	55.5544
5.58	29.7248	0.0022816	55.5544
5.59	29.7349	0.00226396	55.5544
5.6	29.7449	0.00224646	55.5544
5.61	29.7548	0.00222908	55.5544
5.62	29.7647	0.00221183	55.5544
5.63	29.7744	0.00219471	55.5544
5.64	29.7841	0.00217772	55.5544
5.65	29.7938	0.00216085	55.5544
5.66	29.8033	0.00214411	55.5544
5.67	29.8128	0.00212749	55.5544
5.68	29.8222	0.00211099	55.5544
5.69	29.8315	0.00209462	55.5544
5.7	29.8408	0.00207836	55.5544
5.71	29.85	0.00206223	55.5544
5.72	29.8591	0.00204622	55.5544
5.73	29.8682	0.00203032	55.5544
5.74	29.8771	0.00201455	55.5544
5.75	29.886	0.00199889	55.5544
5.76	29.8949	0.00198335	55.5544
5.77	29.9037	0.00196792	55.5544
5.78	29.9124	0.00195261	55.5544
5.79	29.921	0.00193741	55.5544
5.8	29.9296	0.00192233	55.5544
5.81	29.9381	0.00190736	55.5544
5.82	29.9465	0.0018925	55.5544
5.83	29.9549	0.00187775	55.5544
5.84	29.9632	0.00186312	55.5544
5.85	29.9714	0.00184859	55.5544
5.86	29.9796	0.00183417	55.5544
5.87	29.9877	0.00181986	55.5544
5.88	29.9957	0.00180566	55.5544
5.89	30.0037	0.00179156	55.5544
5.9	30.0116	0.00177757	55.5544
5.91	30.0195	0.00176369	55.5544
5.92	30.0273	0.00174991	55.5544
5.93	30.035	0.00173623	55.5544
5.94	30.0427	0.00172266	55.5544
5.95	30.0503	0.00170918	55.5544
5.96	30.0579	0.00169582	55.5544
5.97	30.0654	0.00168255	55.5544
5.98	30.0728	0.00166938	55.5544
5.99	30.0802	0.00165631	55.5544
